name,brandName,ratingScore,description,price
"Dell Vostro 3400 i3 11th Gen 4GB 256ssd 14"" Laptop",Dell,0,"['CPU : i3-1115G4 11th Gen', 'RAM : 4 GB DDR 4', 'HDD : 256GB SSD', 'Screen :  14-inch HD (1366 x 768)', 'Graphic : Intel® UHD Graphics Integrated']",51990.00
Acer Swift 3 SF313-53-56UU Intel Evo Core i5 11th Gen I 8GB RAM I 512GB SSD I 13.5'' QHD Display I BackLit Keyboard Fingerprint Laptop,Acer,5,"['THIN, LIGHT and PREMIUM: The stylish silver aluminium body weighs just 1.19kg and is less than 16mm thin, so you can easily carry it with you all-day', 'SEE MORE: The 13.5-inch VertiView display features a 3:2 aspect ratio, which gives you 18% more visible space compared to a standard screen - ideal for web browsing, working on documents and more', 'VISIBLY STUNNING: The screen also features a Quad HD resolution and IPS panel, giving you spectacular detail, vivid lifelike colours and wide viewing angles', 'POWERFUL PERFORMANCE: The combined performance of the latest 11th gen Intel Core i5 CPU, 8GB of RAM and 512GB SSD ensures everything will run smoothly', 'ALL-DAY BATTERY: The battery lasts up to an amazing 14 hours on a single charge, allowing you to use it all day without having to worry about charging']",89999.00
"Dell Vostro 3400 i3 11th Gen / 4GB RAM / 256GB NVMe SSD / Intel Iris Xe Graphics / 14"" HD Display Laptop",Dell,5,"['Processor: 11th Generation Intel Core i3-1115G4 Processor (6MB Cache, up to 4.1 GHz),', 'Memory &amp; Storage: 4GB RAM 256GB NVMe SSD', 'Display: 14.0-inch Anti-glare LED Backlight Narrow Border WVA Display', 'Graphics: Intel UHD Graphics with the shared graphics memory', 'I/O ports: Two USB 3.2 Gen-1,One USB 2.0,One RJ45,One SD card slot ,One HDMI 1.4 port', 'Warranty: One-year warranty against manufacturing defects.']",51999.00
Acer Aspire 3 A315-59G i5 12th Gen/8GB RAM 256GB SSD+1TB HDD 15.6″ FHD NVIDIA MX550 2 GB Graphic Laptop,Acer,0,"['CPU : i5-1235U 12th Gen 10 Cores', 'RAM : 8GB DDR 4', 'HDD : 256GB SSD + 1TB HDD', 'Screen :15.6-inch FHD (1920 x 1080)', 'Graphic : NVIDIA® GeForce® MX550 2 GB']",84990.00
"Dell Inspiron 3511 / Core i5 11th Gen / 8GB RAM / 512GB Nvme SSD / 15.6"" FHD / 2GB MX 350 Nvidia / Win 10 Genuine Laptop",Dell,4.3,['Brand New Laptop'],82990.00
HP 14-DQ2031WM Intel Core i3-1115G4 / Intel UHD Graphics / 8GB DDR4 RAM / 256GB SSD / Windows 11 Home / 14″ Screen Laptop,HP,4,"['Processor: 11th Gen Intel Core i3-1115G4 (up to 4.1 GHz with Intel Turbo Boost Technology, 6 MB L3 cache, 2 cores)', 'Memory: 8 GB DDR4 RAM, upgradable up to 16 GB (2 x 8 GB) | Storage: 256 GB PCIe NVMe M.2 SSD', 'Display: 14-Inch HD Screen', 'Operating System: Pre-loaded Windows 11 Home with lifetime validity and Alexa Built-in', 'Graphics: Intel UHD Graphics', 'Ports: 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo', 'Warranty: One year against manufacturing defects.']",51999.00
HP Laptop 15s  Ryzen 5/8GB/512GB SSD 15.6 inch,HP,0,"['BrandHPSeriesHP Laptop 15s-eq2144AU', 'Screen Size15.6 Inches', 'ColourNatural Silver', 'Hard Disk Size512 GB', 'CPU ModelAMD Ryzen 5 RAM ', 'Memory Installed Size8 GB', 'Operating SystemWindows 10', 'Special FeatureMicro- Edge,', ' FHDGraphics Card DescriptionIntegrated']",59895.00
"Acer Nitro 5 Ryzen 7 Gaming Laptop 5800H Rtx 3060 16Gb Ram 512gb Ssd 15.6"" FHD 144Hz",Acer,5,['Brand New Laptop'],156500.00
"Acer Extensa 15 / Core i5 11th Gen / 8GB RAM / 512GB NVME SSD / 15.6"" FHD Laptop",Acer,4.5,"['Processor : Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)', 'Display :15.6"" Full HD 1920 x 1080, high-brightness Acer ComfyView LED-backlit TFT LCD', 'Memory: 8 GB DDR4 SDRAM', 'Storage: 512 GB NVME SSD', 'Graphics: Intel Iris Xe Graphics', 'Operating System: Windows 10', 'Battery Capacity: 36.7 Wh 2-cell Li-ion batteryAdapter45 W AC power adapter', 'Audio2 x Stereo Speaker', 'Bluetooth, Wifi, Cardreader', 'Powerful ProductivityFor better performance, the Extensa 15 employs up to Intel® Core™ i5 Processors, has 8 GB of memory, and delivers enough power to see you through your workday2. Work, play, or relax; do it all with powerful productivity.Color-rich DisplayThe Full HD display keeps images and videos stunning while the narrow border offers-up more viewable space. To protect user’s eyes from harmful blue light, it also includes Acer BlueLightShield™.High-speed StorageWith a combination of 512GB M.2 PCIe SSD1 and extra HDD Slot for HDD Upgrade – users have a plenty of storage for all of their media, work files, and more.Impeccable SecurityAchieve enterprise-level security and manageability with firmware based TPM and Kensington lock to provide physical protection to your data.Impeccable SecurityAchieve enterprise-level security and manageability with firmware based TPM and Kensington lock to provide physical protection to your data.Stay ConnectedUsers get easy updates to the latest information with a full range of connectivity options. Wi-Fi 5 (802.11ac) provides fast internet access. For enhanced video calls, this laptop also includes and optimized camera and microphones.']",73999.00
"Lenovo Ideapad 3 Ryzen 5 5500U /8GB RAM/256GB SSD/14"" FHD",Lenovo,0,"['Processor: AMD Ryzen 5 5500U | Speed: 2.1 GHz (Base) - 4.0 GHz (Max) | 6 Cores | 8MB Cache', 'Memory and Storage: 8GB RAM DDR4', '256 GB SSD', 'Display: 14&quot; FHD (1920x1080) ', 'Design: 4 side narrow bezel | 1.99 cm Thin and 1.41 kg Light | Fingerprint Reader | Backlit Keyboard', 'Battery Life: 3-Cell 45Wh | Upto 6 Hours | Rapid Charge (Up to 80% in 1 Hour)', 'Camera (Built-in): 720p with Privacy Shutter | Fixed Focus | Integrated Dual Array Microphone', 'Audio: 2 x 1.5W Stereo Speakers | HD Audio | Dolby Audio', 'Lenovo Smart Features : Lenovo Aware | Whisper Voice | Eye Care', 'Ports: 2 USB 3.2 Gen1, 1 USB 2.0, Headphone/Mic combo jack, HDMI 1.4b, 4-in-1 media reader (MMC, SD, SDHC, SDXC)', 'In the box: Laptop, Power Adapter and User Manual']",66990.00
